ESO29-23	NGC306
ESO151-6	NGC312
ESO411-32	NGC314
ESO243-13	NGC319
ESO541-3	NGC320
ESO243-15	NGC322-1
ESO151-9	NGC323
ESO295-25	NGC324
ESO151-13	NGC328
ESO29-24	NGC330
ESO351-26	NGC334
ESO541-6	NGC335
ESO541-2	NGC336
ESO29-25	NGC339
ESO51-10	NGC346
ESO151-17	NGC348
ESO79-14	NGC360
ESO51-12	NGC361
ESO352-1	NGC365
ESO243-23	NGC368
ESO541-17	NGC369
ESO51-14	NGC371
ESO29-29	NGC376
ESO541-19	NGC377
ESO412-5	NGC378
ESO51-16	NGC395
ESO51-18	NGC406
ESO352-12	NGC409
ESO51-19	NGC411
ESO352-14	NGC415
ESO29-32	NGC416
ESO541-24	NGC417
ESO412-9	NGC418
ESO29-33	NGC419
ESO51-22	NGC422
ESO412-11	NGC423
ESO296-4	NGC424
ESO412-14	NGC427
ESO113-22	NGC432
ESO113-23	NGC434
ESO113-24	NGC434A
ESO296-7	NGC438
ESO412-18	NGC439
ESO113-25	NGC440
ESO412-19	NGC441
ESO151-36	NGC454-1
ESO151-36	NGC454-2
ESO29-38	NGC456
ESO51-26	NGC458
ESO29-39	NGC460
ESO352-33	NGC461
ESO29-40	NGC465
ESO113-34	NGC466
ESO476-3	NGC478
ESO296-13	NGC482
ESO113-36	NGC484
ESO352-53	NGC491
ESO352-46	NGC491A
ESO352-66	NGC526A
ESO352-66	NGC526B
ESO352-68	NGC527
ESO296-21	NGC534
ESO542-12	NGC540
ESO296-24	NGC544
ESO296-25	NGC546
ESO296-22	NGC549
ESO476-11	NGC554
ESO476-11A	NGC554A
ESO476-12	NGC555
ESO476-13	NGC556
ESO296-31	NGC572
ESO353-6	NGC574
ESO196-7	NGC576
ESO476-15	NGC578
ESO542-20	NGC583
ESO353-11	NGC597
ESO29-43	NGC602
ESO353-15	NGC612
ESO413-11	NGC613
ESO353-21	NGC619
ESO353-23	NGC623
ESO297-5	NGC625
ESO297-6	NGC626
ESO297-9	NGC630
ESO297-11	NGC633
ESO413-13	NGC639
ESO244-42	NGC641
ESO413-14	NGC642
ESO29-50	NGC643
ESO29-44	NGC643A
ESO29-53	NGC643B
ESO30-1	NGC643C
ESO244-43	NGC644
ESO80-2	NGC646-1
ESO80-2	NGC646-2
ESO477-2	NGC667
ESO152-24	NGC685
ESO477-6	NGC686
ESO414-5	NGC689
ESO197-3	NGC692
ESO353-50	NGC696
ESO353-51	NGC698
ESO152-32	NGC745-1
ESO152-32	NGC745-2
ESO152-32	NGC745-3
ESO414-11	NGC749
ESO152-33	NGC754
ESO477-18	NGC775
ESO114-15	NGC782
ESO153-8	NGC795
ESO30-6	NGC796
ESO52-13	NGC802
ESO478-1	NGC808
ESO52-16	NGC813
ESO298-9	NGC822
ESO354-37	NGC824
ESO544-17	NGC836
ESO478-10	NGC837
ESO478-9	NGC849
ESO153-26	NGC852
ESO354-47	NGC854
ESO415-6	NGC857
ESO478-13	NGC858-1
ESO478-13	NGC858-2
ESO298-20	NGC862
ESO544-32	NGC872
ESO478-18	NGC874
ESO478-22	NGC878
ESO115-2	NGC888
ESO298-27	NGC889
ESO478-26	NGC892
ESO298-29	NGC893
ESO355-7	NGC897
ESO545-7	NGC899
ESO545-10	NGC907
ESO545-11	NGC908
ESO478-28	NGC922
ESO246-11	NGC939
ESO545-21	NGC947
ESO479-8	NGC951
ESO299-4	NGC954
ESO545-32	NGC965
ESO545-30	NGC966
ESO545-31	NGC967
ESO246-23	NGC979
ESO299-7	NGC986
ESO154-4	NGC1025
ESO154-5	NGC1031
ESO356-3	NGC1049
ESO416-13	NGC1079
ESO546-16	NGC1091
ESO546-17	NGC1092
ESO115-28	NGC1096
ESO416-19	NGC1097A
ESO416-20	NGC1097
ESO546-14	NGC1098
ESO546-15	NGC1099
ESO546-18	NGC1100
ESO546-19	NGC1102
ESO546-24	NGC1119
ESO480-7	NGC1124
ESO154-18	NGC1135
ESO154-19	NGC1136
ESO546-29	NGC1145
ESO417-8	NGC1165
ESO547-1	NGC1179
ESO480-23	NGC1187
ESO480-28	NGC1201
ESO480-31	NGC1210
ESO300-10	NGC1217-1
ESO300-10	NGC1217-2
ESO480-32	NGC1228
ESO480-33	NGC1229
ESO480-34	NGC1230
ESO547-14	NGC1232
ESO547-16	NGC1232A
ESO82-8	NGC1244
ESO82-9	NGC1246
ESO155-6	NGC1249
ESO116-?11	NGC1252
ESO481-13	NGC1255
ESO547-23	NGC1256
ESO547-24	NGC1258
ESO357-13	NGC1288
ESO418-1	NGC1292
ESO547-30	NGC1297
ESO547-31	NGC1300
ESO547-32	NGC1301
ESO481-20	NGC1302
ESO481-23	NGC1306
ESO357-19	NGC1310
ESO200-7	NGC1311
ESO82-11	NGC1313
ESO83-1	NGC1313A
