NGC 397,15.5,0.3,0.3
NGC 398,15.5,0.3,0.2
NGC 399,13.6,0.9,0.7
NGC 403,12.5,1.8,0.6
NGC 404,10.3,4.3,3.9
NGC 406,12.5,3.0,1.3
NGC 407,13.4,1.8,0.4
NGC 409,13.0,1.3,1.1
NGC 410,11.5,2.3,1.8
NGC 413,16.0,1.2,0.7
NGC 414,14.5,0.7,0.4
NGC 415,13.5,1.5,0.8
NGC 416,11.0,1.1,1.1
NGC 417,14.1,0.6,0.5
NGC 418,12.6,2.0,1.7
NGC 419,10.0,2.6,2.6
NGC 420,12.1,2.0,2.0
NGC 423,13.4,1.0,0.4
NGC 424,12.8,1.8,0.8
NGC 425,12.6,1.0,1.0
NGC 426,12.9,1.4,1.0
NGC 427,14.1,1.0,0.6
NGC 428,11.5,4.0,2.9
NGC 429,13.4,1.4,0.3
NGC 430,12.5,1.3,1.1
NGC 431,12.9,1.4,0.9
NGC 432,14.0,1.3,1.2
NGC 433,9.0,2.5,2.5
NGC 434,12.0,2.2,1.2
NGC 435,14.2,1.1,0.4
NGC 436,8.8,6.0,6.0
NGC 437,12.8,1.3,1.0
NGC 438,12.8,1.4,1.1
NGC 439,11.5,2.5,1.5
NGC 440,13.2,1.2,0.7
NGC 441,12.7,1.4,1.1
NGC 442,13.4,1.0,0.5
NGC 443,13.0,0.8,0.7
NGC 444,14.3,1.9,0.4
NGC 445,14.1,0.8,0.7
NGC 446,15.5,2.0,1.6
NGC 447,14.0,2.2,2.2
NGC 448,12.1,1.6,0.8
NGC 449,14.2,0.8,0.5
NGC 450,11.5,3.0,2.4
NGC 451,13.9,0.7,0.5
NGC 452,12.6,2.5,0.8
NGC 454,13.1,1.7,1.5
NGC 455,12.6,2.0,1.2
NGC 456,99.9,15.0,15.0
NGC 457,6.4,13.0,13.0
NGC 459,14.4,0.9,0.9
NGC 461,13.4,1.2,0.9
NGC 462,15.7,0.4,0.4
NGC 463,15.0,1.0,0.4
NGC 465,99.9,91.0,91.0
NGC 466,13.6,1.7,1.5
NGC 467,11.9,2.0,2.0
NGC 468,15.0,0.7,0.4
NGC 469,15.0,0.7,0.4
NGC 470,11.8,2.9,1.7
NGC 471,13.3,1.0,0.7
NGC 472,14.0,1.3,1.1
NGC 473,12.5,1.9,1.2
NGC 474,11.5,6.1,5.0
NGC 475,16.5,0.3,0.3
NGC 476,15.0,0.5,0.4
NGC 477,13.0,2.2,1.2
NGC 478,15.0,0.9,0.7
NGC 479,13.9,1.1,0.9
NGC 480,16.3,0.5,0.2
NGC 481,14.0,1.7,1.3
NGC 482,13.7,2.2,0.5
NGC 483,13.1,0.7,0.7
NGC 484,12.2,1.9,1.4
NGC 485,13.0,1.8,0.6
NGC 487,14.0,1.1,0.7
NGC 488,10.3,5.4,3.9
NGC 489,12.6,1.7,0.4
NGC 490,14.3,0.7,0.6
NGC 491,12.5,1.4,1.0
NGC 492,15.5,0.7,0.6
NGC 493,12.5,3.4,1.1
NGC 494,12.9,2.0,0.8
NGC 495,12.9,1.2,0.8
NGC 496,13.3,1.6,0.9
NGC 497,13.0,2.1,0.9
