IC0444,6:18:34,+23:18:48.0
IC0445,6:37:21,+67:51:35.5
IC0446,6:31:06,+10:27:33.4
IC0447,6:31:00,+09:53:50.8
IC0448,6:32:45,+07:23:19.1
IC0449,6:45:41,+71:20:37.8
IC0450,6:52:12,+74:25:37.5
IC0451,6:52:52,+74:28:50.6
IC0452,6:48:39,-16:54:05.8
IC0453,6:49:11,-16:54:24.3
IC0454,6:51:06,+12:55:19.3
IC0455,7:34:58,+85:32:13.9
IC0456,7:00:18,-30:09:49.6
IC0457,7:09:28,+50:09:09.1
IC0458,7:10:34,+50:07:08.1
IC0459,7:10:39,+50:10:38.4
IC0460,7:10:44,+50:12:08.8
IC0461,7:10:45,+50:04:53.1
IC0462,7:10:56,+50:10:51.0
IC0463,7:11:01,+50:07:03.7
IC0464,7:11:05,+50:08:12.8
IC0465,7:11:34,+50:14:53.7
IC0466,7:08:39,-04:19:04.8
IC0467,7:30:18,+79:52:21.1
IC0468,7:17:19,-13:13:07.3
IC0469,7:55:59,+85:09:32.1
IC0470,7:23:31,+46:04:43.2
IC0471,7:43:36,+49:40:03.2
IC0472,7:43:50,+49:36:51.1
IC0473,7:42:25,+09:15:19.0
IC0474,7:46:07,+26:30:18.4
IC0475,7:47:09,+30:29:19.7
IC0476,7:47:16,+26:57:03.5
IC0477,7:52:07,+23:28:58.9
IC0478,7:53:42,+26:29:33.7
IC0479,7:54:22,+27:00:31.8
IC0480,7:55:23,+26:44:36.0
IC0481,7:59:03,+24:09:38.3
IC0482,7:59:47,+25:21:25.1
IC0483,7:59:52,+25:55:31.2
IC0484,8:00:01,+26:39:57.1
IC0485,8:00:20,+26:42:05.2
IC0486,8:00:21,+26:36:48.7
IC0487,7:59:07,-00:38:16.5
IC0488,8:00:50,+25:54:06.7
IC0489,8:01:38,+25:59:47.0
IC0490,8:03:20,+25:48:41.1
IC0491,8:03:55,+26:31:14.2
IC0492,8:05:39,+26:10:05.5
IC0493,8:07:28,+25:08:02.5
IC0494,8:06:24,+01:02:09.8
IC0495,8:08:19,+09:00:50.0
IC0496,8:09:44,+25:52:53.8
IC0497,8:10:06,+24:55:19.5
IC0498,8:09:30,+05:16:50.5
IC0499,8:45:17,+85:44:24.1
IC0500,8:12:40,-16:03:02.9
IC0501,8:18:48,+24:32:14.7
IC0502,8:22:04,+08:45:09.4
IC0503,8:22:11,+03:16:05.0
IC0504,8:22:41,+04:15:44.7
IC0505,8:23:22,+04:22:20.9
IC0506,8:23:31,+04:17:58.2
IC0507,8:25:02,-00:35:29.0
IC0508,8:28:22,+25:07:29.0
IC0509,8:32:04,+24:00:39.3
IC0510,8:32:11,-02:09:44.0
IC0511,8:40:50,+73:29:12.0
IC0512,9:03:50,+85:30:06.1
IC0513,8:33:05,-12:21:20.0
IC0514,8:35:22,-02:02:49.4
IC0515,8:35:31,-01:54:04.0
IC0516,8:35:51,-01:52:16.4
IC0517,8:36:22,-02:03:20.0
IC0518,8:36:07,+00:41:33.3
IC0519,8:40:34,+02:36:40.8
IC0520,8:53:42,+73:29:27.4
IC0521,8:46:44,+02:32:14.7
IC0522,8:54:35,+57:10:00.2
IC0523,8:53:11,+09:08:53.4
IC0524,8:58:13,-19:11:30.9
IC0525,9:01:22,-01:51:14.3
IC0526,9:02:41,+10:50:29.9
IC0527,9:09:42,+37:36:05.7
IC0528,9:09:23,+15:47:46.2
IC0529,9:18:33,+73:45:33.6
IC0530,9:15:17,+11:53:08.5
IC0531,9:17:51,-00:16:42.5
IC0532,9:19:04,-16:45:17.8
IC0533,9:20:23,-03:59:31.3
IC0534,9:21:15,+03:09:04.1
IC0535,9:22:16,-01:02:25.2
IC0536,9:24:40,+25:06:36.7
IC0537,9:25:23,-12:23:30.4
IC0538,9:27:19,+23:01:12.4
IC0539,9:29:08,-02:32:56.9
IC0540,9:30:10,+07:54:09.9
IC0541,9:30:31,-04:15:13.2
IC0542,9:31:06,-13:10:52.9
IC0543,9:31:09,-14:46:21.0
IC0544,9:35:53,+24:53:41.5
IC0545,9:36:05,+24:56:56.2
IC0546,9:34:50,-16:23:03.9
IC0547,9:36:06,-12:26:12.2
IC0548,9:38:19,+09:26:45.5
IC0549,9:40:43,+03:57:35.1
IC0550,9:40:29,-06:56:45.8
IC0551,9:41:00,+06:56:09.9
IC0552,9:41:17,+10:38:49.2
IC0553,9:40:45,-05:26:07.3
IC0554,9:41:57,+12:17:46.6
IC0555,9:41:57,+12:17:46.6
IC0556,9:43:40,+11:03:39.1
IC0557,9:44:02,+10:59:17.2
IC0558,9:45:00,+29:27:08.3
IC0559,9:44:44,+09:36:54.0
IC0560,9:45:53,-00:16:05.9
IC0561,9:45:59,+03:08:42.7
IC0562,9:46:04,-03:58:16.2
IC0563,9:46:20,+03:02:44.1
IC0564,9:46:21,+03:04:16.9
IC0565,9:47:51,+15:51:09.2
IC0566,9:49:56,-00:13:52.9
IC0567,9:50:34,+12:47:05.0
IC0568,9:51:08,+15:43:49.6
IC0569,9:51:28,+10:55:12.2
IC0570,9:51:51,+15:45:20.7
IC0571,9:52:32,+15:46:31.6
IC0572,9:52:33,+15:49:36.7
IC0573,9:53:36,-12:28:55.6
IC0574,9:54:27,-06:57:12.2
IC0575,9:54:33,-06:51:27.2
IC0576,9:55:07,+11:02:22.4
IC0577,9:56:04,+10:29:55.9
IC0578,9:56:16,+10:29:09.9
IC0579,9:56:39,-13:46:29.6
IC0580,9:57:57,+10:25:56.8
IC0581,9:58:12,+15:56:49.1
IC0582,9:59:00,+17:49:01.7
IC0583,9:59:05,+17:49:17.2
IC0584,9:59:05,+10:21:40.1
IC0585,9:59:44,+12:59:18.9
IC0586,9:59:50,-06:55:22.2
IC0587,10:03:05,-02:24:00.1
IC0588,10:02:07,+03:03:27.7
IC0589,10:04:24,-05:40:44.1
IC0590,10:05:50,+00:37:58.6
IC0591,10:07:28,+12:16:28.2
IC0592,10:07:59,-02:29:50.1
IC0593,10:08:18,-02:31:36.5
IC0594,10:08:32,-00:40:00.7
IC0595,10:09:38,+11:00:00.9
IC0596,10:10:31,+10:02:32.6
IC0597,10:10:12,-06:53:57.3
IC0598,10:12:49,+43:08:43.9
IC0599,10:13:13,-05:37:44.4
IC0600,10:17:11,-03:29:52.0
IC0601,10:18:15,+07:02:19.8
IC0602,10:18:20,+07:02:57.5
IC0603,10:19:25,-05:39:22.2
IC0604,10:23:45,+57:01:36.7
IC0605,10:22:24,+01:11:53.7
IC0606,10:23:33,+10:57:35.0
IC0607,10:24:09,+16:44:30.8
IC0608,10:24:21,-06:02:21.5
IC0609,10:25:35,-02:12:54.8
IC0610,10:26:28,+20:13:41.5
IC0611,10:26:28,+20:13:41.5
IC0612,10:27:06,+11:03:17.6
IC0613,10:27:08,+11:00:38.6
IC0614,10:26:52,-03:27:53.1
IC0615,10:27:22,+11:04:47.9
IC0616,10:32:48,+15:51:39.0
IC0617,10:32:44,-12:38:14.3
IC0618,10:32:45,-12:43:02.7
IC0619,10:33:50,+12:52:42.1
IC0620,10:33:33,+11:52:17.0
IC0621,10:33:21,+02:36:58.1
IC0622,10:34:43,+11:11:50.4
IC0623,10:35:21,+03:33:30.2
IC0624,10:36:15,-08:20:02.2
IC0625,10:42:38,-23:56:08.2
IC0626,10:36:57,-07:01:25.9
IC0627,10:37:20,-03:21:28.1
IC0628,10:37:36,+05:36:13.3
IC0629,10:37:03,-27:33:54.2
IC0630,10:38:34,-07:10:13.9
IC0631,10:38:59,-07:03:08.6
IC0632,10:39:12,-00:24:34.1
IC0633,10:39:24,-00:23:21.5
IC0634,10:40:55,+05:59:30.6
IC0635,10:41:45,+15:38:36.0
